0.171906,-0.046082
-0.196991,-0.084335
-0.147705,-0.173813
-0.260284,-0.161987
-0.022720,-0.001114
-0.008194,0.131157
-0.267914,-0.067169
0.004517,0.168793
-0.205017,-0.241257
-0.084015,0.108292
-0.026917,-0.101456
0.130951,0.116333
0.228790,-0.207611
-0.033752,0.077759
0.096924,-0.000031
0.118408,0.072952
0.118164,0.033325
-0.014160,-0.067657
0.149048,-0.070313
0.030457,0.203583
0.096558,0.083054
0.089172,0.033600
0.194855,-0.008720
0.254517,-0.123482
0.136139,-0.013153
0.149109,0.042587
0.090881,0.037384
0.058044,0.095596
0.164307,-0.193359
-0.029419,0.144600
0.066315,0.162781
0.052521,0.216705
-0.005096,-0.143417
-0.038940,0.018982
-0.058990,0.019890
0.017395,-0.171959
0.011841,0.081696
-0.024078,-0.012070
-0.111847,0.163376
-0.009247,0.045959
-0.051117,0.031769
-0.255676,-0.149445
-0.002441,-0.119751
0.172394,0.114944
0.014191,-0.056793
-0.007568,-0.103836
-0.071533,-0.061996
-0.224274,-0.094254
-0.023041,-0.102142
-0.077972,0.338867
-0.119751,0.154465
-0.061340,0.116730
0.047363,-0.105629
-0.235046,-0.147942
-2.629456,3.835602
-0.210602,-0.061493
-1.008087,2.478241
0.093323,2.076538
-0.038757,2.017395
1.136414,3.728455
-0.354004,-1.276367
0.058136,-1.113129
0.068085,-1.111938
0.244293,-0.912811
0.439545,-0.977020
0.702423,-1.134857
-0.096710,-1.121704
0.146301,-0.844666
0.146393,-0.737122
0.190643,-0.833252
0.156738,-0.874268
0.518433,-0.937866
0.001648,-0.937622
0.262390,-0.659393
0.172974,-0.646759
0.140442,-0.546417
0.153961,-0.674072
0.202133,-0.715118
0.081238,-0.390564
0.247284,-0.396790
0.062592,-0.191132
-0.000366,-0.250153
0.071625,-0.334015
0.176117,-0.379929
0.137207,0.042114
0.194244,0.019821
0.024658,0.048538
-0.046600,-0.013397
-0.105042,-0.067352
-0.203018,-0.092804
0.186462,0.219803
0.218140,0.422577
-0.017975,0.293793
-0.204315,0.191574
-0.223755,0.083679
-0.391922,0.046631
0.369751,0.372467
0.369415,0.357132
-0.008850,0.129684
-0.235809,0.097534
-0.483490,0.132080
-0.536102,0.231422
0.626404,0.490326
0.574860,0.394150
